previous_record,timestamp,previous_record_date,county,record,state,record_date,station_name,id
66.0,1334089251,1976-03-20,NIAGARA,77.0,NY,2012-03-20,NIAGARA FALLS INTL AP,2012-03-20--NIAGARA-FALLS-INTL-AP
59.0,1334089258,1995-03-21,NIAGARA,81.0,NY,2012-03-21,NIAGARA FALLS INTL AP,2012-03-21--NIAGARA-FALLS-INTL-AP
97.0,1335572324,2011-04-26,TOM GREEN,105.0,TX,2012-04-26,SAN ANGELO MATHIS  FLD,2012-04-26--SAN-ANGELO-MATHIS--FLD
55.0,1338445487,2003-01-03,VALLEY,60.0,NE,2012-01-03,ORD EVELYN SHARP FLD,2012-01-03--ORD-EVELYN-SHARP-FLD
54.0,1338445497,1985-01-05,VALLEY,69.0,NE,2012-01-05,ORD EVELYN SHARP FLD,2012-01-05--ORD-EVELYN-SHARP-FLD
61.0,1338445523,1992-01-30,VALLEY,68.0,NE,2012-01-30,ORD EVELYN SHARP FLD,2012-01-30--ORD-EVELYN-SHARP-FLD
64.0,1338445548,1997-03-09,VALLEY,66.0,NE,2012-03-09,ORD EVELYN SHARP FLD,2012-03-09--ORD-EVELYN-SHARP-FLD
76.0,1338445559,2007-03-13,VALLEY,80.0,NE,2012-03-13,ORD EVELYN SHARP FLD,2012-03-13--ORD-EVELYN-SHARP-FLD
73.0,1338445573,2003-03-15,VALLEY,78.0,NE,2012-03-15,ORD EVELYN SHARP FLD,2012-03-15--ORD-EVELYN-SHARP-FLD
79.0,1338445608,2003-03-31,VALLEY,85.0,NE,2012-03-31,ORD EVELYN SHARP FLD,2012-03-31--ORD-EVELYN-SHARP-FLD
86.0,1338445614,2003-04-01,VALLEY,87.0,NE,2012-04-01,ORD EVELYN SHARP FLD,2012-04-01--ORD-EVELYN-SHARP-FLD
87.0,1338445666,1986-05-04,VALLEY,87.0,NE,2012-05-04,ORD EVELYN SHARP FLD,2012-05-04--ORD-EVELYN-SHARP-FLD
89.0,1338445678,1998-05-17,VALLEY,92.0,NE,2012-05-17,ORD EVELYN SHARP FLD,2012-05-17--ORD-EVELYN-SHARP-FLD
91.0,1338445680,2009-05-18,VALLEY,91.0,NE,2012-05-18,ORD EVELYN SHARP FLD,2012-05-18--ORD-EVELYN-SHARP-FLD
88.0,1338445687,2006-05-22,VALLEY,89.0,NE,2012-05-22,ORD EVELYN SHARP FLD,2012-05-22--ORD-EVELYN-SHARP-FLD
91.0,1338445696,1985-05-26,VALLEY,94.0,NE,2012-05-26,ORD EVELYN SHARP FLD,2012-05-26--ORD-EVELYN-SHARP-FLD
111.0,1338619171,2001-05-31,SAN BERNARDINO,112.0,CA,2012-05-31,NEEDLES AP,2012-05-31--NEEDLES-AP
112.0,1338619171,2001-05-31,RIVERSIDE,112.0,CA,2012-05-31,BLYTHE ASOS,2012-05-31--BLYTHE-ASOS
44.0,1339663932,2003-01-04,DAVISON,58.0,SD,2012-01-04,MITCHELL MUNI AP,2012-01-04--MITCHELL-MUNI-AP
45.0,1339663940,1984-01-05,DAVISON,68.0,SD,2012-01-05,MITCHELL MUNI AP,2012-01-05--MITCHELL-MUNI-AP
42.0,1339663942,2008-01-06,DAVISON,50.0,SD,2012-01-06,MITCHELL MUNI AP,2012-01-06--MITCHELL-MUNI-AP
53.0,1339663967,2003-02-01,DAVISON,55.0,SD,2012-02-01,MITCHELL MUNI AP,2012-02-01--MITCHELL-MUNI-AP
60.0,1339663993,2006-03-10,DAVISON,76.0,SD,2012-03-10,MITCHELL MUNI AP,2012-03-10--MITCHELL-MUNI-AP
62.0,1339663996,1991-03-11,DAVISON,65.0,SD,2012-03-11,MITCHELL MUNI AP,2012-03-11--MITCHELL-MUNI-AP
65.0,1339664005,2007-03-13,DAVISON,82.0,SD,2012-03-13,MITCHELL MUNI AP,2012-03-13--MITCHELL-MUNI-AP
68.0,1339664017,2003-03-15,DAVISON,73.0,SD,2012-03-15,MITCHELL MUNI AP,2012-03-15--MITCHELL-MUNI-AP
75.0,1339664047,2004-03-26,DAVISON,85.0,SD,2012-03-26,MITCHELL MUNI AP,2012-03-26--MITCHELL-MUNI-AP
