state_county,station_name,lat,lon
MINNESOTA/UNKNOWN,BAMMOCK,,
MINNESOTA/AITKIN,RICE LAKE NWR,46.5381,-93.2844
MINNESOTA/AITKIN,AITKIN,46.5257,-93.6674
MINNESOTA/AITKIN,ISLE 12 N,46.3197,-93.5013
MINNESOTA/AITKIN,ISEDOR IVERSON AP,46.61889,-93.30972
MINNESOTA/AITKIN,SANDY LAKE DAM LIBBY,46.7953,-93.3211
MINNESOTA/AITKIN,AITKIN MUNICIPAL AIRPORT,46.5475,-93.67667
MINNESOTA/AITKIN,HILL CITY RANGER STN,46.98333,-93.6
MINNESOTA/AITKIN,TAMARACK,46.63333,-93.13333
MINNESOTA/AITKIN,GARRISON 4 NE,46.33056,-93.7675
MINNESOTA/AITKIN,ISLE 12 N,46.33333,-93.51667
MINNESOTA/AITKIN,ISLE 8 N,46.25,-93.51667
MINNESOTA/ANOKA,ST FRANCIS,45.3878,-93.3591
MINNESOTA/ANOKA,COON RAPIDS,45.15,-93.3
MINNESOTA/ANOKA,ANDOVER 1N,45.25333,-93.29278
MINNESOTA/ANOKA,ST FRANCIS 4 S,45.33333,-93.38333
MINNESOTA/ANOKA,COON CREEK FARM,45.166667,-93.333333
MINNESOTA/ANOKA,CEDAR,45.32222,-93.28444
MINNESOTA/ANOKA,MINNEAPOLIS ANOKA COUNTY AP,45.15,-93.21667
MINNESOTA/ANOKA,CEDAR,45.31667,-93.28333
MINNESOTA/ANOKA,CENTERVILLE LAKE,45.166667,-93.066667
MINNESOTA/ANOKA,MINNEAPOLIS,45.0431,-93.2799
MINNESOTA/ANOKA,ST FRANCIS 4 S,45.33333,-93.36667
MINNESOTA/ANOKA,CEDAR,45.16667,-93.06667
MINNESOTA/BECKER,TAMARAC WILDLIFE REF,46.96306,-95.66306
MINNESOTA/BECKER,UPPER CORMORANT LAKE,46.78583,-96.13083
MINNESOTA/BECKER,DETROIT LAKES 12E,46.85722,-95.60556
MINNESOTA/BECKER,DETROIT LAKES 1 NNE,46.83722,-95.83722
MINNESOTA/BECKER,FRAZEE,46.7336,-95.7063
MINNESOTA/BECKER,DETROIT LAKES,46.83333,-95.88333
MINNESOTA/BELTRAMI,BEMIDJI MUNICIPAL AP,47.5,-94.93333
MINNESOTA/BELTRAMI,WASKISH MUNICIPAL AP,48.15389,-94.51667
MINNESOTA/BELTRAMI,RED LAKE INDIAN AGCY,47.8769,-95.0161
MINNESOTA/BELTRAMI,WILTON,47.5,-95.016667
MINNESOTA/BELTRAMI,BEMIDJI,47.5369,-94.8297
MINNESOTA/BELTRAMI,REDBY NO 2,47.88333,-94.9
MINNESOTA/BELTRAMI,REDBY,47.88333,-94.91667
MINNESOTA/BELTRAMI,RED LAKE INDIAN AGENCY,47.86667,-95.03333
MINNESOTA/BELTRAMI,BLACKDUCK,47.67139,-94.5175
MINNESOTA/BELTRAMI,WASKISH 4NE,48.2063,-94.3938
MINNESOTA/BELTRAMI,THORHULT,48.2325,-95.24806
MINNESOTA/BELTRAMI,KELLIHER,47.94222,-94.45528
MINNESOTA/BELTRAMI,BLACKDDCK RANGER STN,47.71667,-94.56667
MINNESOTA/BENTON,PIERZ 5 E,45.81667,-94
MINNESOTA/BENTON,RICE,45.7576,-94.2072
MINNESOTA/BIG STONE,ARTICHOKE LAKE,45.3783,-96.1541
MINNESOTA/BIG STONE,GRACEVILLE,45.566667,-96.433333
MINNESOTA/BIG STONE,ORTONVILLE 1N,45.3093,-96.4292
MINNESOTA/BIG STONE,CORRELL,45.23333,-96.16667
MINNESOTA/BIG STONE,ORTONVILLE,45.3,-96.45
MINNESOTA/BIG STONE,BEARDSLEY,45.55,-96.71667
MINNESOTA/BIG STONE,ORTONVILLE MUNICIPAL MARTINSON FIELD AIRPORT,45.30556,-96.42417
MINNESOTA/BLUE EARTH,MANKATO,44.1543,-94.0212
MINNESOTA/BLUE EARTH,MANKATO STATE,44.1492,-93.9995
MINNESOTA/BLUE EARTH,AMBOY,43.88333,-94.15
MINNESOTA/BLUE EARTH,AMBOY,43.8835,-94.1666
MINNESOTA/BLUE EARTH,MANKATO RIVER,44.1689,-94.0031
MINNESOTA/BLUE EARTH,LAKE CRYSTAL,44.1,-94.2
MINNESOTA/BLUE EARTH,PLEASANT MOUNDS,43.86667,-94.13333
MINNESOTA/BLUE EARTH,PLEASANT MOUND,44,-94
