Country or State/County,Station Name,Begin Date,End Date,ICAO ID,COOP ID,WBAN ID,FAA ID,NWSLI ID,WMO ID,NCDC STN ID,Lat DEC,Lat DMS,Lon DEC,Lon DMS,Elevation,Station Type,Data Available
"MINNESOTA/UNKNOWN","BAMMOCK",1912-09-24,1914-06-05,None,210440,None,None,None,None,12002690,UNKNOWN,UNKNOWN,"GROUND : -99999 UNKNOWN UNITS","LAND SURFACE, COOP",None
"MINNESOTA/AITKIN","RICE LAKE NWR",1992-12-03,2009-04-01,None,216929,None,None,RICM5,None,20011092,46.5381 ,46 32' 17.16'' N,-93.2844 ,93 17' 03.84'' W,"GROUND : 1250 FEET","LAND SURFACE, A, B, COOP",3
"MINNESOTA/AITKIN","AITKIN",1948-08-01,12/31/9999,None,210059,None,None,ATKM5,None,20010876,46.5257 ,46 31' 32.52'' N,-93.6674 ,93 40' 02.64'' W,"GROUND : 1215 FEET","LAND SURFACE, A, AB, COOP",4
"MINNESOTA/AITKIN","ISLE 12 N",1990-08-14,12/31/9999,None,214103,None,None,ISEM5,None,20011076,46.3197 ,46 19' 10.92'' N,-93.5013 ,93 30' 04.68'' W,"GROUND : 1285 FEET","AVIATION, LAND SURFACE, COOP",3
"MINNESOTA/AITKIN","ISEDOR IVERSON AP",2004-02-11,12/31/9999,KHZX,None,04997,HZX,None,None,30002700,46.61889 ,46 37' 08.004'' N,-93.30972 ,93 18' 34.992'' W,"GROUND : 1228 FEET","AWOS, FAA, LAND SURFACE",None
"MINNESOTA/AITKIN","SANDY LAKE DAM LIBBY",1948-01-01,12/31/9999,None,217460,None,None,SDYM5,None,20010893,46.7953 ,46 47' 43.08'' N,-93.3211 ,93 19' 15.96'' W,"GROUND : 1234 FEET","LAND SURFACE, USHCN, AB, A, COOP",5
"MINNESOTA/AITKIN","AITKIN MUNICIPAL AIRPORT",1992-01-01,12/31/9999,KAIT,None,94999,AIT,None,None,30002145,46.5475 ,46 32' 51.0'' N,-93.67667 ,93 40' 36.012'' W,"GROUND : 1204 FEET","AWOS",None
"MINNESOTA/AITKIN","HILL CITY RANGER STN",1948-08-01,1953-02-28,None,213764,None,None,None,None,20010908,46.98333 ,46 58' 59.988'' N,-93.6 ,93 36' 00.0'' W,"GROUND : 1220 FEET","LAND SURFACE, COOP",3
"MINNESOTA/AITKIN","TAMARACK",1959-07-01,1961-07-31,None,218187,None,None,None,None,20010880,46.63333 ,46 37' 59.988'' N,-93.13333 ,93 07' 59.988'' W,"GROUND : 1270 FEET","LAND SURFACE, COOP",2
"MINNESOTA/AITKIN","GARRISON 4 NE",1991-08-13,1997-04-03,None,213051,None,None,GRRM5,None,20011087,46.33056 ,46 19' 50.016'' N,-93.7675 ,93 46' 03.0'' W,"GROUND : 1210 FEET","LAND SURFACE, B, COOP",3
"MINNESOTA/AITKIN","ISLE 12 N",1959-09-01,1963-05-31,None,214103,None,None,None,None,20010864,46.33333 ,46 19' 59.988'' N,-93.51667 ,93 31' 00.012'' W,"GROUND : 1289 FEET","LAND SURFACE, COOP",2
"MINNESOTA/AITKIN","ISLE 8 N",1963-05-01,1990-07-21,None,214103,None,None,ISEM5,None,20010859,46.25 ,46 15' 00.0'' N,-93.51667 ,93 31' 00.012'' W,"GROUND : 1290 FEET","AVIATION, LAND SURFACE, COOP",3
"MINNESOTA/ANOKA","ST FRANCIS",1990-03-01,12/31/9999,None,217309,None,None,SFSM5,None,20011075,45.3878 ,45 23' 16.08'' N,-93.3591 ,93 21' 32.76'' W,"GROUND : 900 FEET","LAND SURFACE, A, B, COOP",3
"MINNESOTA/ANOKA","COON RAPIDS",1966-05-01,1973-08-31,None,211790,None,None,None,None,20010809,45.15 ,45 09' 00.0'' N,-93.3 ,93 18' 00.0'' W,"GROUND : 840 FEET","LAND SURFACE, COOP",None
"MINNESOTA/ANOKA","ANDOVER 1N",2007-05-26,12/31/9999,None,210190,None,None,ADVM5,None,30003147,45.25333 ,45 15' 11.988'' N,-93.29278 ,93 17' 34.008'' W,"GROUND : 899 FEET","LAND SURFACE, A, AB, COOP",3
"MINNESOTA/ANOKA","ST FRANCIS 4 S",1954-10-01,1984-09-04,None,217308,None,None,None,None,20010817,45.33333 ,45 19' 59.988'' N,-93.38333 ,93 22' 59.988'' W,"GROUND : 889 FEET","LAND SURFACE, B, COOP",3
"MINNESOTA/ANOKA","COON CREEK FARM",1919-05-18,1924-04-30,None,211787,None,None,None,None,12002709,45.166667 ,45 10' 00.0012'' N,-93.333333 ,93 19' 59.9988'' W,"GROUND : -99999 UNKNOWN UNITS","LAND SURFACE, COOP",1
"MINNESOTA/ANOKA","CEDAR",1983-06-10,2005-12-31,None,211390,None,None,CDRM5,None,20011044,45.32222 ,45 19' 19.992'' N,-93.28444 ,93 17' 03.984'' W,"GROUND : 907 FEET","LAND SURFACE, AB, COOP",3
"MINNESOTA/ANOKA","MINNEAPOLIS ANOKA COUNTY AP",1989-03-16,12/31/9999,KANE,None,94974,ANE,None,None,20011082,45.15 ,45 09' 00.0'' N,-93.21667 ,93 13' 00.012'' W,"GROUND : 912 FEET","SAWRS, LAWRS, LAND SURFACE, AWOS",None
"MINNESOTA/ANOKA","CEDAR",1962-11-01,1982-12-01,None,211390,None,None,None,None,20010816,45.31667 ,45 19' 00.012'' N,-93.28333 ,93 16' 59.988'' W,"GROUND : 906 FEET","LAND SURFACE, COOP",3
"MINNESOTA/ANOKA","CENTERVILLE LAKE",1919-07-29,1927-12-31,None,211417,None,None,None,None,12002703,45.166667 ,45 10' 00.0012'' N,-93.066667 ,93 04' 00.0012'' W,"GROUND : 888 FEET","LAND SURFACE, COOP",1
"MINNESOTA/ANOKA","MINNEAPOLIS",1948-07-01,2011-01-26,None,215430,None,None,MSPM5,None,20010797,45.0431 ,45 02' 35.16'' N,-93.2799 ,93 16' 47.64'' W,"GROUND : 810 FEET","LAND SURFACE, B, A, COOP",2
"MINNESOTA/ANOKA","ST FRANCIS 4 S",1985-07-23,2010-04-23,None,217308,None,None,STFM5,None,20011053,45.33333 ,45 19' 59.988'' N,-93.36667 ,93 22' 00.012'' W,"GROUND : 860 FEET","LAND SURFACE, B, COOP",4
